method,avg_latency_s,avg_tokens_per_second,avg_memory_delta_mb,avg_theoretical_kv_cache_mb,correct,evaluated,correct_percent
full_kv_cache,2.1678,3.8628,17.4,8.1118,6,14,42.9
no_kv_cache,8.2789,1.1262,-9.84,0.0,6,14,42.9
sliding_window_128,2.2176,3.7172,0.06,7.3162,5,14,35.7
sliding_window_32,2.1584,3.8196,-0.0,2.1501,1,14,7.1
sliding_window_64,2.1718,3.7967,-0.01,4.0448,1,14,7.1
